com.samsung.shealth.tracker.pedometer_day_summary,6311013,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,12681,a4e73c24-d7f4-413b-ace9-2d5be20cfb14.binning_data.json,6137637,12800,,430,2020-08-03 21:31:03.831,com.sec.android.app.shealth,2020-08-02 22:35:08.007,a4e73c24-d7f4-413b-ace9-2d5be20cfb14.source_info.json,1.6863506,10350.209,562.8821,12251,VfS0qUERdZ,com.sec.android.app.shealth,0,a4e73c24-d7f4-413b-ace9-2d5be20cfb14.achievement.json,a4e73c24-d7f4-413b-ace9-2d5be20cfb14,1596412800000,
,8688,00306b4f-547c-4bde-ac99-2234615597bd.binning_data.json,3967291,12800,,404,2020-08-03 22:00:06.128,com.sec.android.app.shealth,2020-08-03 22:00:06.128,,1.8709453,7422.586,386.42578,8284,m3h9nVfJDO,com.sec.android.app.shealth,0,00306b4f-547c-4bde-ac99-2234615597bd.achievement.json,00306b4f-547c-4bde-ac99-2234615597bd,1596412800000,
,14013,6d0875b9-9a0d-4701-b0d8-46a1966139ee.binning_data.json,6892267,12800,,1134,2020-08-03 22:00:08.872,com.sec.android.app.shealth,2020-07-28 22:03:12.368,6d0875b9-9a0d-4701-b0d8-46a1966139ee.source_info.json,1.6837162,11604.622,640.9944,12879,VfS0qUERdZ,com.sec.android.app.shealth,0,6d0875b9-9a0d-4701-b0d8-46a1966139ee.achievement.json,6d0875b9-9a0d-4701-b0d8-46a1966139ee,1595980800000,
,9123,c0288cb7-f407-432b-8960-16a1469e3081.binning_data.json,4748994,12800,,66,2020-08-03 22:00:09.970,com.sec.android.app.shealth,2020-08-03 22:00:09.970,,1.4470335,6871.9546,392.78723,9057,BPYUPn3BBR,com.sec.android.app.shealth,0,c0288cb7-f407-432b-8960-16a1469e3081.achievement.json,c0288cb7-f407-432b-8960-16a1469e3081,1596412800000,
,4860,29a44ce5-2cd9-40c5-97b6-8728d31ab8f2.binning_data.json,2362849,12800,,249,2020-08-04 22:00:03.678,com.sec.android.app.shealth,2020-08-04 22:00:03.678,,1.7846061,4216.756,230.46445,4611,m3h9nVfJDO,com.sec.android.app.shealth,0,29a44ce5-2cd9-40c5-97b6-8728d31ab8f2.achievement.json,29a44ce5-2cd9-40c5-97b6-8728d31ab8f2,1596499200000,
,7983,433bd169-38af-449a-9144-3112024d90fb.binning_data.json,3968259,12800,,258,2020-08-04 21:55:09.563,com.sec.android.app.shealth,2020-08-04 04:21:32.289,433bd169-38af-449a-9144-3112024d90fb.source_info.json,1.6069968,6376.981,365.2902,7725,VfS0qUERdZ,com.sec.android.app.shealth,0,433bd169-38af-449a-9144-3112024d90fb.achievement.json,433bd169-38af-449a-9144-3112024d90fb,1596499200000,
,6138,0fe37972-b8f8-4136-92b6-dffadabefaf7.binning_data.json,3211955,12800,,41,2020-08-04 22:00:07.622,com.sec.android.app.shealth,2020-08-04 22:00:07.622,,1.4162122,4548.811,269.74042,6097,BPYUPn3BBR,com.sec.android.app.shealth,0,0fe37972-b8f8-4136-92b6-dffadabefaf7.achievement.json,0fe37972-b8f8-4136-92b6-dffadabefaf7,1596499200000,
,12674,0168fc84-8098-4de5-8a57-66b9ba4d9a3c.binning_data.json,6236984,12800,,738,2020-08-04 22:00:06.317,com.sec.android.app.shealth,2020-07-29 22:05:26.124,0168fc84-8098-4de5-8a57-66b9ba4d9a3c.source_info.json,1.6332518,10186.566,572.6288,11936,VfS0qUERdZ,com.sec.android.app.shealth,0,0168fc84-8098-4de5-8a57-66b9ba4d9a3c.achievement.json,0168fc84-8098-4de5-8a57-66b9ba4d9a3c,1596067200000,
,8478,609d1018-c1ba-4f07-b8ea-418c08f34dc2.binning_data.json,4204603,12800,,799,2020-08-05 21:56:40.633,com.sec.android.app.shealth,2020-08-04 22:15:14.017,609d1018-c1ba-4f07-b8ea-418c08f34dc2.source_info.json,1.6430024,6908.1743,410.27798,7679,VfS0qUERdZ,com.sec.android.app.shealth,0,609d1018-c1ba-4f07-b8ea-418c08f34dc2.achievement.json,609d1018-c1ba-4f07-b8ea-418c08f34dc2,1596585600000,
,7485,1ebc7ce3-0a2e-45b9-93c0-e3967212b396.binning_data.json,3942404,12800,,60,2020-08-05 22:00:13.103,com.sec.android.app.shealth,2020-08-05 22:00:13.103,,1.4163775,5583.933,338.28,7425,BPYUPn3BBR,com.sec.android.app.shealth,0,1ebc7ce3-0a2e-45b9-93c0-e3967212b396.achievement.json,1ebc7ce3-0a2e-45b9-93c0-e3967212b396,1596585600000,
