com.samsung.shealth.rewards,6311013,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-08-22 16:25:21.545,,,,2020-08-23 15:02:14.725,2020-08-22 16:25:21.663,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":141,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-22 16:25:21.545,2b143f8b-b80e-42cc-a858-5e79914e4883,0,
,2020-08-23 15:02:08.497,,,,2020-08-24 14:15:06.687,2020-08-23 15:02:14.734,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":193,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-23 15:02:08.497,2c5e3d73-8e48-4e6b-b3fc-6c008783c344,0,
,2020-09-01 13:12:07.909,,,,2020-09-02 11:24:25.210,2020-09-01 13:12:07.983,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":134,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-01 13:12:07.909,7dd11b64-2ebd-4277-9073-d2730f8931a5,0,
,2020-07-24 21:18:12.772,,,,2020-08-26 15:57:23.738,2020-07-24 17:03:44.458,,,goal_activity_reward_most_active_day,UTC+0200,"{""mIsCompleted"":false,""mValue"":226,""mValue2"":0}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-07-24 17:03:44.350,ab535e14-16ea-4a46-8a56-b00a9d05bbe3,0,
,2020-08-27 11:22:36.610,,,,2020-08-28 14:15:18.108,2020-08-27 11:22:36.762,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":201,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-27 11:22:36.610,5f0ed938-9be5-4019-b328-7f34824bf32e,0,
,2020-09-08 14:24:22.831,,,,2020-09-09 12:56:41.606,2020-09-08 14:24:23.024,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":131,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-08 14:24:22.831,96918b91-1a1d-4d06-af3b-74b37fe14435,0,
,2020-09-14 14:49:01.118,,,,2020-09-15 14:21:27.017,2020-09-14 14:49:01.306,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":83,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-14 14:49:01.118,4be4ddbf-d1d4-4b81-ac12-b2bea60c0873,0,
,2020-09-07 15:20:44.289,,,,2020-09-08 14:24:22.893,2020-09-07 15:20:44.494,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":105,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-07 15:20:44.289,937d5b15-1e36-4ed6-9a58-fb837753676a,0,
,2020-09-16 12:51:00.297,,,,2020-09-17 12:12:13.215,2020-09-16 12:51:00.502,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":111,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-16 12:51:00.297,71bd8001-f874-44f8-ab24-f5069b6a44c1,0,
,2020-09-04 11:52:22.397,,,,2020-09-05 11:35:10.482,2020-09-04 11:52:22.560,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":170,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-04 11:52:22.397,d2003ec8-8f07-4283-b06d-4c7c16514eda,0,
