com.samsung.shealth.report,6311013,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Europe/Warsaw,1632088800000,2021-09-27 13:27:47.755,2021-09-27 13:27:40.395,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,2de0949d-028a-4abb-848e-ee35e9065c83,2de0949d-028a-4abb-848e-ee35e9065c83.compressed_content.json,
Europe/Warsaw,1633298400000,2021-10-11 13:51:28.597,2021-10-11 13:51:24.559,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,9f0cc7e2-acd5-4a52-ab47-7ffffbb282ad,9f0cc7e2-acd5-4a52-ab47-7ffffbb282ad.compressed_content.json,
Europe/Warsaw,1634508000000,2021-10-30 13:42:55.692,2021-10-30 13:42:52.242,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,58e6aaf2-23b5-43a8-9ff8-0cf8f8c7cf9a,58e6aaf2-23b5-43a8-9ff8-0cf8f8c7cf9a.compressed_content.json,
Europe/Warsaw,1633903200000,2021-10-22 16:14:12.058,2021-10-22 16:13:56.399,0,0,2,zOMhdsm5Ps,X,com.sec.android.app.shealth,6c40f340-c666-44b9-bf3c-77b136f9a269,6c40f340-c666-44b9-bf3c-77b136f9a269.compressed_content.json,
Europe/Warsaw,1634508000000,2021-10-25 14:01:59.187,2021-10-25 14:01:48.730,0,0,2,zOMhdsm5Ps,X,com.sec.android.app.shealth,090aac7a-95df-454e-aeac-6928c1b28742,090aac7a-95df-454e-aeac-6928c1b28742.compressed_content.json,
Europe/Warsaw,1635112800000,2021-11-01 13:02:48.581,2021-11-01 13:02:43.144,0,0,2,zOMhdsm5Ps,X,com.sec.android.app.shealth,92e065dc-e7a6-4ae8-a880-9a6c5693e76c,92e065dc-e7a6-4ae8-a880-9a6c5693e76c.compressed_content.json,
Europe/Warsaw,1635112800000,2021-11-01 18:35:14.261,2021-11-01 18:35:09.921,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,6433d800-861b-44d6-ac2a-bb434a156b6f,6433d800-861b-44d6-ac2a-bb434a156b6f.compressed_content.json,
Europe/Warsaw,1635721200000,2021-11-08 13:51:37.790,2021-11-08 13:51:32.933,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,c7c8e603-d440-47ff-af2e-451a716cdd36,c7c8e603-d440-47ff-af2e-451a716cdd36.compressed_content.json,
Europe/Warsaw,1635721200000,2021-11-08 15:44:38.914,2021-11-08 15:44:36.087,0,0,2,zOMhdsm5Ps,X,com.sec.android.app.shealth,61399815-8556-4339-9f0a-b92bf291340d,61399815-8556-4339-9f0a-b92bf291340d.compressed_content.json,
Europe/Warsaw,1636326000000,2021-11-16 13:40:52.562,2021-11-16 13:40:49.984,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,2b5576ff-af92-4fac-b5d3-319be316b6a4,2b5576ff-af92-4fac-b5d3-319be316b6a4.compressed_content.json,
Europe/Warsaw,1636930800000,2021-11-22 14:03:56.937,2021-11-22 14:03:53.004,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,6d89a7bd-f0bb-4eb9-a00f-1c4ddb001e32,6d89a7bd-f0bb-4eb9-a00f-1c4ddb001e32.compressed_content.json,
Europe/Warsaw,1637535600000,2021-11-29 13:35:18.546,2021-11-29 13:35:13.999,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,ee83e943-8b3a-4524-9243-c1b18f5e53f3,ee83e943-8b3a-4524-9243-c1b18f5e53f3.compressed_content.json,
Europe/Warsaw,1638140400000,2021-12-07 18:54:38.251,2021-12-07 18:54:34.441,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,717d73f7-296f-4ff5-bd44-b9b5fcf0fed0,717d73f7-296f-4ff5-bd44-b9b5fcf0fed0.compressed_content.json,
Europe/Warsaw,1638745200000,2021-12-13 14:05:27.642,2021-12-13 14:05:23.797,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,ac8fdf13-fb7f-4ea4-a6b8-53ca03551ed1,ac8fdf13-fb7f-4ea4-a6b8-53ca03551ed1.compressed_content.json,
Europe/Warsaw,1639350000000,2021-12-20 14:26:48.839,2021-12-20 14:26:26.653,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,b8e87b97-5e21-42f1-ab15-4d52e2255c03,b8e87b97-5e21-42f1-ab15-4d52e2255c03.compressed_content.json,
Europe/Warsaw,1639954800000,2021-12-30 17:29:21.936,2021-12-30 17:29:16.391,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,0926335b-4139-470d-82f8-5f82485c3dad,0926335b-4139-470d-82f8-5f82485c3dad.compressed_content.json,
Europe/Warsaw,1640559600000,2022-01-03 17:05:39.690,2022-01-03 17:05:33.184,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,fc218a1b-7ccf-4ff0-86c3-5abc6b24206d,fc218a1b-7ccf-4ff0-86c3-5abc6b24206d.compressed_content.json,
Europe/Warsaw,1641164400000,2022-01-10 13:30:36.997,2022-01-10 13:30:33.414,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,964b5e5b-aaae-41f7-a08a-c9e85030eabf,964b5e5b-aaae-41f7-a08a-c9e85030eabf.compressed_content.json,
Europe/Warsaw,1641769200000,2022-01-18 16:28:04.260,2022-01-18 16:27:59.431,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,fd570b74-3964-443c-ab8b-def2e5b55df3,fd570b74-3964-443c-ab8b-def2e5b55df3.compressed_content.json,
Europe/Warsaw,1642978800000,2022-01-31 00:13:41.450,2022-01-31 00:13:38.762,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,09bd1b68-ea06-45bc-87fe-658d1b79dd8c,09bd1b68-ea06-45bc-87fe-658d1b79dd8c.compressed_content.json,
Europe/Warsaw,1643583600000,2022-02-12 13:34:20.623,2022-02-11 15:41:25.658,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,bddb5cb0-9efa-479c-b3e6-0694f20fd6a3,bddb5cb0-9efa-479c-b3e6-0694f20fd6a3.compressed_content.json,
Europe/Warsaw,1644188400000,2022-02-17 15:54:24.910,2022-02-17 15:54:23.139,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,f86ec059-978f-4225-99d8-f0a62dc47015,f86ec059-978f-4225-99d8-f0a62dc47015.compressed_content.json,
Europe/Warsaw,1644793200000,2022-02-21 14:16:41.754,2022-02-21 14:16:36.295,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,e7f20a31-31c9-43bd-baf0-6e5d31d916c5,e7f20a31-31c9-43bd-baf0-6e5d31d916c5.compressed_content.json,
Europe/Warsaw,1645398000000,2022-03-05 13:30:46.982,2022-03-05 13:30:37.908,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,938b66d9-29a8-4704-8d8f-295611d6f0f6,938b66d9-29a8-4704-8d8f-295611d6f0f6.compressed_content.json,
Europe/Warsaw,1646002800000,2022-03-07 13:51:12.706,2022-03-07 13:51:04.739,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,726ab64d-f2d6-4ebd-9dc6-6a84bfa047cf,726ab64d-f2d6-4ebd-9dc6-6a84bfa047cf.compressed_content.json,
Europe/Warsaw,1647212400000,2022-03-26 15:03:34.655,2022-03-26 15:03:00.197,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,c5775083-a2de-46b3-ad73-fd139ba6db65,c5775083-a2de-46b3-ad73-fd139ba6db65.compressed_content.json,
Europe/Warsaw,1647817200000,2022-03-28 03:01:42.739,2022-03-28 03:01:35.397,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,4ccddce8-6a6e-4449-9be1-8b4ce96d4644,4ccddce8-6a6e-4449-9be1-8b4ce96d4644.compressed_content.json,
Europe/Warsaw,1648418400000,2022-04-08 12:59:36.569,2022-04-08 12:59:32.212,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,f95de354-d9f6-404b-b3d4-4b801dc66485,f95de354-d9f6-404b-b3d4-4b801dc66485.compressed_content.json,
