com.samsung.shealth.calories_burned.details,6311013,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,33042c0b-eb95-4296-87bc-8935ae61bd5d.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.883,2020-05-02 10:14:35.432,0.0,m3h9nVfJDO,com.sec.android.app.shealth,33042c0b-eb95-4296-87bc-8935ae61bd5d,1588204800000,
,,8cd1f8a3-d6c2-4c94-8cbc-117dccd7fb33.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.655,2020-05-11 22:04:55.156,0.0,m3h9nVfJDO,com.sec.android.app.shealth,8cd1f8a3-d6c2-4c94-8cbc-117dccd7fb33,1587686400000,
,,967e051f-0b6c-4b57-84ab-7973ee92cf92.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.697,2020-05-02 10:14:34.978,0.0,m3h9nVfJDO,com.sec.android.app.shealth,967e051f-0b6c-4b57-84ab-7973ee92cf92,1587772800000,
,,d3b460f9-b54a-4a9e-8b6f-ecd7ef3c2f8e.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.798,2020-05-02 10:14:35.260,0.0,m3h9nVfJDO,com.sec.android.app.shealth,d3b460f9-b54a-4a9e-8b6f-ecd7ef3c2f8e,1588032000000,
,,85ec9af7-842a-4805-bb4c-7f52c5bcf118.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.551,2020-05-02 10:14:32.510,0.0,m3h9nVfJDO,com.sec.android.app.shealth,85ec9af7-842a-4805-bb4c-7f52c5bcf118,1587427200000,
,,9d3f1d49-e0fa-4b29-9227-8799afc308d5.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:14.049,2020-05-11 22:04:59.329,0.0,m3h9nVfJDO,com.sec.android.app.shealth,9d3f1d49-e0fa-4b29-9227-8799afc308d5,1588550400000,
,,5d6cdc63-d448-4f49-8f0b-4d8ecd64c769.extra_data.json,,,,0.0,3208839,1689.0641,,2020-05-11 22:05:13.966,2020-05-11 22:04:58.958,283.96997,m3h9nVfJDO,com.sec.android.app.shealth,5d6cdc63-d448-4f49-8f0b-4d8ecd64c769,1588377600000,
,,70858b96-963e-4783-aedd-c78b1e462211.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:14.159,2020-05-11 22:04:59.507,0.0,m3h9nVfJDO,com.sec.android.app.shealth,70858b96-963e-4783-aedd-c78b1e462211,1588636800000,
,,a4909daf-a7fe-4717-989a-dd573324d629.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.513,2020-05-02 10:14:32.449,0.0,m3h9nVfJDO,com.sec.android.app.shealth,a4909daf-a7fe-4717-989a-dd573324d629,1587340800000,
,,1d8baa03-35c4-471d-bf68-2f48889e71d7.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:14.010,2020-05-02 22:00:00.438,0.0,m3h9nVfJDO,com.sec.android.app.shealth,1d8baa03-35c4-471d-bf68-2f48889e71d7,1588464000000,
